loss,test loss
0.05548604803691573,0.011162606
0.008808442478523727,0.00631611
0.00545159946250199,0.0049547856
0.004762889995381161,0.0045810044
0.004519185849709533,0.004419815
0.004400657672195607,0.0043386356
0.0043379632687703,0.004300507
0.0043030909242385215,0.004271746
0.004284200925560348,0.0042599845
0.004274828550335835,0.004252775
0.004269332271255864,0.0042481935
0.004265602283919843,0.0042478503
0.0042645287519641134,0.0042469176
0.004263253178204937,0.0042458074
0.004263508827029067,0.004245694
0.004263136325985541,0.0042456468
0.0042632278742949685,0.004246376
0.004263279054668391,0.0042451704
0.0042626131874025615,0.0042457604
0.004263071720729363,0.0042453483
0.004263209036779971,0.0042456225
0.004262381460275097,0.0042462004
0.004262757578161926,0.0042456337
